First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Douglas,Male,08-06-1993,12:42 PM,97308,6.945,TRUE,Marketing
Thomas,Male,3-31-1996,6:53 AM,61933,4.17,TRUE,
Maria,Female,4-23-1993,11:17 AM,130590,11.858,FALSE,Finance
Jerry,Male,03-04-2005,1:00 PM,138705,9.34,TRUE,Finance
Larry,Male,1-24-1998,4:47 PM,101004,1.389,TRUE,
Dennis,Male,4-18-1987,1:35 AM,115163,10.125,FALSE,
Ruby,Female,8-17-1987,4:20 PM,65476,10.012,TRUE,0
,Female,7-20-2015,10:43 AM,45906,11.598,,0
Angela,Female,11-22-2005,,95570,18.523,TRUE,Engineering
Frances,Female,08-08-2002,6:51 AM,139852,7.524,TRUE,Business Development
Louise,Female,08-12-1980,9:01 AM,63241,15.132,TRUE,
Julie,Female,10-26-1997,3:19 PM,102508,12.637,TRUE,Legal
Brandon,Male,12-01-1980,1:08 AM,112807,17.492,TRUE,Human Resources
Gary,Male,1-27-2008,,109831,5.831,FALSE,
Kimberly,Female,1-14-1999,7:13 AM,41426,14.543,TRUE,Finance
Lillian,Female,06-05-2016,6:09 AM,59414,1.256,FALSE,Product
Jeremy,Male,9-21-2010,5:56 AM,90370,7.369,FALSE,
Shawn,Male,12-07-1986,7:45 PM,111737,6.414,FALSE,Product
Diana,Female,10-23-1981,10:27 AM,132940,,FALSE,Client Services
Donna,Female,7-22-2010,3:48 AM,81014,1.894,FALSE,Product
Lois,,4-22-1995,7:18 PM,64714,4.934,TRUE,Legal
Matthew,Male,09-05-1995,2:12 AM,100612,13.645,FALSE,Marketing
Joshua,,03-08-2012,1:58 AM,90816,18.816,TRUE,Client Services
,Male,6-14-2012,4:19 PM,125792,5.042,,
John,Male,07-01-1992,10:08 PM,97950,13.873,FALSE,Client Services
,Male,10-08-2012,1:12 AM,37076,18.576,,Client Services
Craig,Male,2-27-2000,7:45 AM,37598,7.757,TRUE,Marketing
Scott,,07-11-1991,6:58 PM,122367,5.218,FALSE,Legal
Terry,Male,11-27-1981,6:30 PM,124008,13.464,TRUE,Client Services
Benjamin,Male,1-26-2005,10:06 PM,79529,7.008,TRUE,Legal
Christina,Female,08-06-2002,1:19 PM,118780,9.096,TRUE,Engineering
Joyce,,2-20-2005,2:40 PM,88657,12.752,FALSE,Product
,Male,8-21-1998,2:27 PM,122340,6.417,,
Jean,Female,12-18-1993,9:07 AM,119082,16.18,FALSE,Business Development
Jerry,Male,01-10-2004,12:56 PM,95734,19.096,FALSE,Client Services
Theresa,Female,10-10-2006,1:12 AM,85182,16.675,FALSE,Sales
Rachel,Female,2-16-2009,8:47 PM,142032,12.599,FALSE,Business Development
Linda,Female,10-19-1981,8:49 PM,57427,9.557,TRUE,Client Services
Stephanie,Female,9-13-1986,1:52 AM,36844,5.574,TRUE,Business Development
,Male,1-29-2016,2:33 AM,122173,7.797,,Client Services
Michael,Male,10-10-2008,11:25 AM,99283,2.665,TRUE,Distribution
Christine,,6-28-2015,1:08 AM,66582,11.308,TRUE,Business Development
Beverly,Female,09-09-1998,8:26 PM,121918,15.835,FALSE,Legal
Marilyn,Female,12-07-1980,3:16 AM,73524,5.207,TRUE,Marketing
Cynthia,Female,11-16-1988,6:54 PM,145146,7.482,TRUE,Product
Roger,Male,4-17-1980,11:32 AM,88010,13.886,TRUE,Sales
Bruce,Male,11-28-2009,10:47 PM,114796,6.796,FALSE,Finance
Kathy,Female,6-22-2005,4:51 AM,66820,9,TRUE,Client Services
Clarence,Male,3-26-1996,5:57 AM,93581,6.083,TRUE,Business Development
Chris,,1-24-1980,12:13 PM,113590,3.055,FALSE,Sales
Nancy,Female,9-23-2000,8:05 AM,94976,13.83,TRUE,Engineering
,,12-17-2011,8:29 AM,41126,14.009,,Sales
Todd,Male,2-18-1990,2:41 AM,49339,1.695,TRUE,Human Resources
Alan,,03-03-2014,1:28 PM,40341,17.578,TRUE,Finance
Sara,Female,8-15-2007,9:23 AM,83677,8.999,FALSE,Engineering
Karen,Female,11-30-1999,7:46 AM,102488,17.653,TRUE,Product
Carl,Male,05-03-2006,5:55 PM,130276,16.084,TRUE,Finance
Henry,Male,6-26-1996,1:44 AM,64715,15.107,TRUE,Human Resources
Theresa,Female,04-11-2010,7:18 AM,72670,1.481,TRUE,Engineering
Irene,Female,05-07-1997,9:32 AM,66851,11.279,FALSE,Engineering
Paula,,11-23-2005,2:01 PM,48866,4.271,FALSE,Distribution
Denise,Female,11-06-2001,12:03 PM,106862,3.699,FALSE,Business Development
,Female,06-12-2007,5:25 PM,58112,19.414,,Marketing
Matthew,Male,01-02-2013,10:33 PM,35203,18.04,FALSE,Human Resources
Kathleen,,04-11-1990,6:46 PM,77834,18.771,FALSE,Business Development
Steve,Male,11-11-2009,11:44 PM,61310,12.428,TRUE,Distribution
Nancy,Female,12-15-2012,11:57 PM,125250,2.672,TRUE,Business Development
Rachel,Female,8-16-1999,6:53 AM,51178,9.735,TRUE,Finance
Jose,Male,10-30-2004,1:39 PM,84834,14.33,TRUE,Finance
Irene,,7-14-2015,4:31 PM,100863,4.382,TRUE,Finance
Todd,,06-10-2003,2:26 PM,84692,6.617,FALSE,Client Services
Johnny,Male,11-06-2009,4:23 PM,118172,16.194,TRUE,Sales
Bobby,Male,05-07-2007,10:01 AM,54043,3.833,FALSE,Product
Frances,Female,04-04-1999,4:19 PM,90582,4.709,TRUE,Sales
Thomas,Male,06-04-1995,2:24 PM,62096,17.029,FALSE,Marketing
Bonnie,Female,07-02-1991,1:27 AM,104897,5.118,TRUE,Human Resources
Margaret,Female,09-10-1988,12:42 PM,131604,7.353,TRUE,Distribution
Charles,Male,9-14-2004,8:13 PM,107391,1.26,TRUE,Marketing
Robin,Female,06-04-1983,3:15 PM,114797,5.965,TRUE,Sales
